year,unitid,instnm,lstudy,gender,n_enrl
2020,199120,University of North Carolina at Chapel Hill,Undergraduate,Total,19395
2020,199120,University of North Carolina at Chapel Hill,Undergraduate,Men,7784
2020,199120,University of North Carolina at Chapel Hill,Undergraduate,Women,11611
2020,199120,University of North Carolina at Chapel Hill,Graduate,Total,10697
2020,199120,University of North Carolina at Chapel Hill,Graduate,Men,4555
2020,199120,University of North Carolina at Chapel Hill,Graduate,Women,6142
2017,204796,Ohio State University-Main Campus,All students,Total,59837
2017,204796,Ohio State University-Main Campus,All students,Men,30143
2017,204796,Ohio State University-Main Campus,All students,Women,29694
2017,204796,Ohio State University-Main Campus,Undergraduate,Total,45946
2017,204796,Ohio State University-Main Campus,Undergraduate,Men,23836
2017,204796,Ohio State University-Main Campus,Undergraduate,Women,22110
2017,204796,Ohio State University-Main Campus,Graduate,Total,13891
2017,204796,Ohio State University-Main Campus,Graduate,Men,6307
2017,204796,Ohio State University-Main Campus,Graduate,Women,7584
2018,204796,Ohio State University-Main Campus,All students,Total,61170
2018,204796,Ohio State University-Main Campus,All students,Men,30395
2018,204796,Ohio State University-Main Campus,All students,Women,30775
2018,204796,Ohio State University-Main Campus,Undergraduate,Total,46820
2018,204796,Ohio State University-Main Campus,Undergraduate,Men,24041
2018,204796,Ohio State University-Main Campus,Undergraduate,Women,22779
2018,204796,Ohio State University-Main Campus,Graduate,Total,14350
2018,204796,Ohio State University-Main Campus,Graduate,Men,6354
2018,204796,Ohio State University-Main Campus,Graduate,Women,7996
2019,204796,Ohio State University-Main Campus,All students,Total,61391
2019,204796,Ohio State University-Main Campus,All students,Men,30281
2019,204796,Ohio State University-Main Campus,All students,Women,31110
2019,204796,Ohio State University-Main Campus,Undergraduate,Total,46818
2019,204796,Ohio State University-Main Campus,Undergraduate,Men,23982
2019,204796,Ohio State University-Main Campus,Undergraduate,Women,22836
2019,204796,Ohio State University-Main Campus,Graduate,Total,14573
2019,204796,Ohio State University-Main Campus,Graduate,Men,6299
2019,204796,Ohio State University-Main Campus,Graduate,Women,8274
2020,204796,Ohio State University-Main Campus,All students,Total,61369
2020,204796,Ohio State University-Main Campus,All students,Men,29768
2020,204796,Ohio State University-Main Campus,All students,Women,31601
2020,204796,Ohio State University-Main Campus,Undergraduate,Total,46984
2020,204796,Ohio State University-Main Campus,Undergraduate,Men,23694
2020,204796,Ohio State University-Main Campus,Undergraduate,Women,23290
2020,204796,Ohio State University-Main Campus,Graduate,Total,14385
2020,204796,Ohio State University-Main Campus,Graduate,Men,6074
2020,204796,Ohio State University-Main Campus,Graduate,Women,8311
2017,214777,Pennsylvania State University-Main Campus,All students,Total,47119
2017,214777,Pennsylvania State University-Main Campus,All students,Men,25212
2017,214777,Pennsylvania State University-Main Campus,All students,Women,21907
2017,214777,Pennsylvania State University-Main Campus,Undergraduate,Total,40835
2017,214777,Pennsylvania State University-Main Campus,Undergraduate,Men,21761
2017,214777,Pennsylvania State University-Main Campus,Undergraduate,Women,19074
2017,214777,Pennsylvania State University-Main Campus,Graduate,Total,6284
2017,214777,Pennsylvania State University-Main Campus,Graduate,Men,3451
2017,214777,Pennsylvania State University-Main Campus,Graduate,Women,2833
2018,214777,Pennsylvania State University-Main Campus,All students,Total,46810
2018,214777,Pennsylvania State University-Main Campus,All students,Men,24985
2018,214777,Pennsylvania State University-Main Campus,All students,Women,21825
2018,214777,Pennsylvania State University-Main Campus,Undergraduate,Total,40363
2018,214777,Pennsylvania State University-Main Campus,Undergraduate,Men,21482
2018,214777,Pennsylvania State University-Main Campus,Undergraduate,Women,18881
2018,214777,Pennsylvania State University-Main Campus,Graduate,Total,6447
2018,214777,Pennsylvania State University-Main Campus,Graduate,Men,3503
2018,214777,Pennsylvania State University-Main Campus,Graduate,Women,2944
2019,214777,Pennsylvania State University-Main Campus,All students,Total,91427
2019,214777,Pennsylvania State University-Main Campus,All students,Men,49122
2019,214777,Pennsylvania State University-Main Campus,All students,Women,42305
2019,214777,Pennsylvania State University-Main Campus,Undergraduate,Total,76099
